tf,N,λ,F_eSTA,F_STA,F_ad,Wn_eSTA,Wn_STA,Tn_eSTA,Tn_STA,Mn_eSTA,Mn_STA,Sq_eSTA,Sq_STA,Λf,Λ0
0.3570707070707071,10,1,0.9635119198150013,0.9491827025903107,0.7721273104839602,22.063762529779147,19.129970033757555,0.008159052877765305,0.01156697293502873,0.013710716489666264,0.06654009073784192,0.14521628397397887,0.13671049829918555,50.00000000000001,0.0
0.36666666666666664,10,1,0.9653562233367379,0.9506493109791926,0.7776356077398223,24.401846239749016,19.909963240915737,0.007370276056128944,0.011589129100819662,0.011128541593625101,0.062156593346872915,0.14265086808617086,0.13277700376070997,50.00000000000001,0.0
0.37626262626262624,10,1,0.9671488873762034,0.9520812644558836,0.7830155982288625,27.023410143629928,20.90155531040834,0.006848549505278356,0.009941587553186082,0.0086860808982996,0.057853482635092095,0.1400502819670417,0.1289857965580426,50.00000000000001,0.0
0.38585858585858585,10,1,0.9688856260227385,0.9534820406045568,0.7882531931428003,29.844258549739912,22.11199738612424,0.006392184004333501,0.00980015069096396,0.006382142255637077,0.05362981673364971,0.1373803576539159,0.12531876764815938,50.00000000000001,0.0
0.39545454545454545,10,1,0.9705619787633035,0.9548545397387282,0.7933347804010066,32.763851323571686,23.527886620768566,0.005772536337822487,0.009117718802187369,0.004213830319476733,0.0494850621910415,0.13461645272251235,0.12175936328770612,50.00000000000001,0.0
0.40505050505050505,10,1,0.9721734805863804,0.9562011424272826,0.7982474894787438,35.67836690474469,25.119011709508534,0.0051769105668952875,0.00906291319768826,0.0021770800734303925,0.04541984504423881,0.13174449510489966,0.11829292710969863,50.00000000000001,0.0
0.41464646464646465,10,1,0.9737158167188069,0.9575238035231279,0.8029794399374965,38.491971317155695,26.843674511669988,0.004869808445384649,0.00804863564685121,0.00026713865434306377,0.04143505597237432,0.12876123287774774,0.11490714528861101,50.00000000000001,0.0
0.42424242424242425,10,1,0.975184966479227,0.9588240944703763,0.8075199786438615,41.124984866474435,28.654440164189968,0.004611636628126803,0.00787905685140089,0.0015210691761477885,0.037532643291111834,0.12567362207244803,0.11159243503002834,50.00000000000001,0.0
0.43383838383838386,10,1,0.9765773211173491,0.9601032556349866,0.8118598993692506,43.51847683680959,30.503491907513915,0.004302865841410153,0.0075514222652728336,0.0031927014323114215,0.03371508169502473,0.12249743981728303,0.10834224965827206,50.00000000000001,0.0
0.44343434343434346,10,1,0.977889780738824,0.9613622306052193,0.8159916394438465,45.63550597445049,32.347039871910944,0.003755037947250628,0.006722359890964924,0.00475290189932629,0.029985822519025773,0.11925533411496736,0.1051532368558221,50.00000000000001,0.0
0.453030303030303,10,1,0.9791198408356236,0.9626017147405876,0.8199094479900148,47.45968186045002,34.148514794551126,0.0035954578203600818,0.00655646481551031,0.006206814940793544,0.026345880536105416,0.11597457132230943,0.10202524590213807,50.00000000000001,0.0
0.4626262626262626,10,1,0.9802656276177426,0.9638221838712896,0.8236095194704548,48.99187884223667,35.88047386318661,0.0035275415921631748,0.005759962506957095,0.007559614188787165,0.022809184854261765,0.11268471023689719,0.09896116565397275,50.00000000000001,0.0
0.4722222222222222,10,1,0.9813259394532641,0.9650239208859106,0.8270900864184705,50.24595490022602,37.52523104997859,0.0030259278416266966,0.005614610998350145,0.008816652602959846,0.019372228138550798,0.109415480392668,0.09596662789678585,50.00000000000001,0.0
0.4818181818181818,10,1,0.9823002567214754,0.9662070534791003,0.8303514659055917,51.24420775187068,39.07421660516358,0.002948081778697542,0.004907981798751848,0.0099835264172077,0.016041096934966654,0.10619499112084574,0.09304961309041782,50.00000000000001,0.0
0.4914141414141414,10,1,0.9831887406829396,0.96737157619571,0.8333960557423234,52.01330120308261,40.526117599969155,0.0025596819108741897,0.004811712694952064,0.0110661248532231,0.012831622963453873,0.10304840922739161,0.09021997951447171,50.00000000000001,0.0
0.501010101010101,10,1,0.9839922248554549,0.9685173704568693,0.8362282785175507,52.581251336204105,41.88401749451515,0.002517048236505559,0.004204581127709162,0.012070612596517172,0.009741671918621728,0.09999711425420549,0.08748896019984226,50.00000000000001,0.0
0.5106060606060606,10,1,0.9847122035407556,0.9696442354399231,0.8388544742299702,52.97583958907828,43.1520952742958,0.0022134494237491253,0.004099935946300093,0.013003337483595556,0.006781540750098646,0.0970583203181335,0.08486865719934718,50.00000000000001,0.0
0.5202020202020202,10,1,0.9853508232412824,0.9707519039622021,0.8412827451886176,53.224462878316956,44.33277981565207,0.001956026451921389,0.003645313495503899,0.013870666049583466,0.003958543888186843,0.09424509483085515,0.08237155342027036,50.00000000000001,0.0
0.5297979797979798,10,1,0.9859108798405307,0.9718400549514326,0.8435227597521271,53.3549654212225,45.42528966774373,0.0017469348190246592,0.0035721253732745595,0.014678756771406462,0.0012799437572156033,0.09156669532385345,0.08001005679880069,50.00000000000001,0.0
