λ1,λ2,λ3,λ4,λ5,tf,N,Λ0,Λf,eSTA,STA
-27.695800257603413,-3.3196131221890153,-19.39486223555631,1.5222084560909102,-5.561602704473744,0.039999999999999994,70,0.0,50.0,0.6488710985836941,0.635257775074668
-24.155941453389843,-2.895306240946896,-16.915908488122053,1.3276633988329636,-4.850692416311314,0.039999999999999994,80,0.0,50.0,0.6705341684615042,0.6578178273455977
-21.418971399923798,-2.5672421070497338,-14.99922690152279,1.1772414705509469,-4.301040668476934,0.039999999999999994,90,0.0,50.0,0.6896558307658424,0.6777210587804828
-19.239406599222963,-2.3059933294119537,-13.472899439678459,1.0574526689876016,-3.8633386374729866,0.039999999999999994,100,0.0,50.0,0.7067080074916674,0.6954630928785102
-47.4747257765494,-5.9373490052652045,-32.926331184600855,2.4278197473272867,-8.900987729211366,0.06,20,0.0,50.0,0.6675926710486908,0.6383056798028284
-30.41895834450431,-3.69705677610159,-21.05003783636808,1.5906264465376607,-5.680410554539947,0.06,30,0.0,50.0,0.7276830355985227,0.7041862940572928
-22.423903106677752,-2.7235834862220183,-15.516414341835981,1.1731873026557875,-4.1864583018187,0.06,40,0.0,50.0,0.7695335538575185,0.7499028171115831
-17.767385435474413,-2.1578905144738885,-12.294030170857003,0.9296313909183751,-3.316772157868764,0.06,50,0.0,50.0,0.800875519769948,0.7840492765450935
-14.715251146125398,-1.7871479181048047,-10.181984108136904,0.7699693313867128,-2.7468304752509787,0.06,60,0.0,50.0,0.8253752991082997,0.8107032656829178
-12.559117658149871,-1.5252562975412591,-8.689997513846857,0.6571701245405283,-2.344248983824178,0.06,70,0.0,50.0,0.8451078263231813,0.8321502116365784
-10.95458034384979,-1.330370766653245,-7.5797197948911545,0.57322351307037,-2.0446824641876247,0.06,80,0.0,50.0,0.8613563427828453,0.8497981088228861
-9.713832697138578,-1.1796749866512173,-6.721181533709106,0.5083071723785407,-1.813049235186466,0.06,90,0.0,50.0,0.8749680085572867,0.8645741416213749
-8.725686551561619,-1.0596616930367382,-6.037438353383346,0.45660543215635013,-1.62858240060073,0.06,100,0.0,50.0,0.8865294983413083,0.877119272167527
-27.395647966801814,-3.481876889656927,-18.694472094930067,1.3118541760940505,-4.618238200354486,0.07999999999999999,20,0.0,50.0,0.8023898907372725,0.7735661746715242
-17.581183476115736,-2.1721440387445266,-11.970390486167181,0.8626758862344965,-2.9514180734460225,0.07999999999999999,30,0.0,50.0,0.8529458273212434,0.8318190502732887
-12.966988164311434,-1.6009383171360745,-8.827950903969185,0.6367035841468649,-2.176003813339746,0.07999999999999999,40,0.0,50.0,0.8846685280616395,0.8682307507175806
-10.277046915671132,-1.2687176049060118,-6.996375878600573,0.5046931435190917,-1.724284631985505,0.07999999999999999,50,0.0,50.0,0.9064923265121494,0.8932345401288067
-8.513053366954454,-1.0508942106796006,-5.795352527209675,0.41810183557194674,-1.4281518178927954,0.07999999999999999,60,0.0,50.0,0.9223691488674334,0.9114048836412849
-7.266524335233231,-0.8969831668668492,-4.9466823395257045,0.3569026870612916,-1.2189323030199595,0.07999999999999999,70,0.0,50.0,0.9343770439345329,0.9251368004220442
-6.338693306942235,-0.7824298259631357,-4.3150088507835695,0.31134531638806345,-1.0632265802618153,0.07999999999999999,80,0.0,50.0,0.943725772624525,0.9358214761989816
-5.621113218020311,-0.6938391865501405,-3.826486392447211,0.2761086143057348,-0.9428178653764654,0.07999999999999999,90,0.0,50.0,0.9511709937519717,0.9443266339793892
-5.049555447809059,-0.6232788062881516,-3.4373813962433295,0.24804055681806653,-0.8469197273049272,0.07999999999999999,100,0.0,50.0,0.9572099692359846,0.9512226759291244
-18.099277585341017,-2.341079112620631,-12.106156499078224,0.8050583471829718,-2.637638856364298,0.09999999999999999,20,0.0,50.0,0.8824395196518405,0.8580341217634139
-11.637708763013729,-1.4636348561165426,-7.766803983459564,0.5318844954547476,-1.6885440007682682,0.09999999999999999,30,0.0,50.0,0.9201376389238166,0.9036338565055373
-8.58883394628712,-1.0793561928968995,-5.7313488041743,0.3929003558573426,-1.2454573344686983,0.09999999999999999,40,0.0,50.0,0.9414841675937271,0.929429255163786
